kode,kabupaten,tahun,persen_miskin,garis_kemiskinan,jumlah_miskin,tpt,nama_clean
3324,Kabupaten Kendal,2011,14.26,234475,128.6,6.54,KENDAL
3325,Kabupaten Batang,2011,13.47,184592,95.3,6.66,BATANG
3326,Kabupaten Pekalongan,2011,15.0,249958,125.9,6.91,PEKALONGAN
3327,Kabupaten Pemalang,2011,20.68,235316,261.2,7.37,PEMALANG
3328,Kabupaten Tegal,2011,11.54,222700,161.1,10.59,TEGAL
3329,Kabupaten Brebes,2011,22.72,261160,394.4,11.08,BREBES
3371,Kota Magelang,2011,11.06,280877,13.1,11.51,KOTA MAGELANG
3372,Kota Surakarta,2011,12.9,326233,64.5,7.7,SURAKARTA
3373,Kota Salatiga,2011,7.8,254726,13.3,9.02,SALATIGA
3374,Kota Semarang,2011,5.68,272996,88.5,7.65,KOTA SEMARANG
3375,Kota Pekalongan,2011,10.04,270663,28.3,8.06,KOTA PEKALONGAN
3376,Kota Tegal,2011,10.81,280349,25.9,9.77,KOTA TEGAL
3301,Kabupaten Cilacap,2012,15.92,240025,260.9,7.29,CILACAP
3302,Kabupaten Banyumas,2012,19.44,271800,303.9,5.11,BANYUMAS
3303,Kabupaten Purbalingga,2012,21.19,247508,181.3,5.02,PURBALINGGA
3304,Kabupaten Banjarnegara,2012,18.87,205369,164.0,3.69,BANJARNEGARA
3305,Kabupaten Kebumen,2012,22.4,250413,258.5,3.58,KEBUMEN
3306,Kabupaten Purworejo,2012,16.32,254314,112.8,3.2,PURWOREJO
3307,Kabupaten Wonosobo,2012,22.5,242047,169.3,5.21,WONOSOBO
3308,Kabupaten Magelang,2012,13.97,218950,166.2,4.38,MAGELANG
3309,Kabupaten Boyolali,2012,13.88,235399,129.1,4.43,BOYOLALI
3310,Kabupaten Klaten,2012,16.71,296530,187.9,3.7,KLATEN
3311,Kabupaten Sukoharjo,2012,10.15,259184,85.1,6.1,SUKOHARJO
3312,Kabupaten Wonogiri,2012,14.67,221019,135.4,3.46,WONOGIRI
3313,Kabupaten Karanganyar,2012,14.07,255072,115.2,5.82,KARANGANYAR
3314,Kabupaten Sragen,2012,16.72,234254,142.8,5.88,SRAGEN
3315,Kabupaten Grobogan,2012,16.13,260435,210.8,4.2,GROBOGAN
3316,Kabupaten Blora,2012,15.1,221088,124.8,4.75,BLORA
3317,Kabupaten Rembang,2012,21.88,261156,129.9,5.75,REMBANG
3318,Kabupaten Pati,2012,13.61,288271,162.0,11.98,PATI
3319,Kabupaten Kudus,2012,8.63,276317,68.1,5.89,KUDUS
3320,Kabupaten Jepara,2012,9.38,263266,104.8,4.29,JEPARA
3321,Kabupaten Demak,2012,16.73,276041,178.1,8.4,DEMAK
3322,Kabupaten Semarang,2012,9.4,244762,88.8,4.87,SEMARANG
3323,Kabupaten Temanggung,2012,12.32,212487,87.8,3.39,TEMANGGUNG
3324,Kabupaten Kendal,2012,13.17,253276,119.0,6.31,KENDAL
3325,Kabupaten Batang,2012,12.4,195983,88.2,5.88,BATANG
3326,Kabupaten Pekalongan,2012,13.85,270026,116.5,5.08,PEKALONGAN
3327,Kabupaten Pemalang,2012,19.27,251986,241.7,4.85,PEMALANG
3328,Kabupaten Tegal,2012,10.75,239207,149.0,6.12,TEGAL
3329,Kabupaten Brebes,2012,21.12,281601,364.9,8.22,BREBES
3371,Kota Magelang,2012,10.31,313250,12.1,8.99,KOTA MAGELANG
3372,Kota Surakarta,2012,12.0,361517,59.7,6.29,SURAKARTA
3373,Kota Salatiga,2012,7.11,277039,12.3,6.84,SALATIGA
3374,Kota Semarang,2012,5.13,297848,81.9,6.01,KOTA SEMARANG
3375,Kota Pekalongan,2012,9.47,294586,26.8,7.67,KOTA PEKALONGAN
3376,Kota Tegal,2012,10.04,305818,24.0,8.75,KOTA TEGAL
3301,Kabupaten Cilacap,2013,15.24,256615,255.7,6.68,CILACAP
3302,Kabupaten Banyumas,2013,18.44,295742,296.8,5.45,BANYUMAS
3303,Kabupaten Purbalingga,2013,20.53,265262,181.1,5.63,PURBALINGGA
3304,Kabupaten Banjarnegara,2013,18.71,221056,166.8,4.16,BANJARNEGARA
3305,Kabupaten Kebumen,2013,21.32,267763,251.1,3.52,KEBUMEN
3306,Kabupaten Purworejo,2013,15.44,273481,109.0,5.15,PURWOREJO
3307,Kabupaten Wonosobo,2013,22.08,258522,170.1,5.82,WONOSOBO
3308,Kabupaten Magelang,2013,13.96,235430,171.0,6.13,MAGELANG
3309,Kabupaten Boyolali,2013,13.27,247845,126.5,5.44,BOYOLALI
3310,Kabupaten Klaten,2013,15.6,315566,179.5,5.34,KLATEN
3311,Kabupaten Sukoharjo,2013,9.87,279400,84.1,5.98,SUKOHARJO
3312,Kabupaten Wonogiri,2013,14.02,235728,132.2,3.61,WONOGIRI
3313,Kabupaten Karanganyar,2013,13.58,275865,114.4,3.84,KARANGANYAR
3314,Kabupaten Sragen,2013,15.93,247495,139.0,5.63,SRAGEN
3315,Kabupaten Grobogan,2013,14.87,278786,199.0,6.1,GROBOGAN
3316,Kabupaten Blora,2013,14.64,237850,123.8,6.23,BLORA
3317,Kabupaten Rembang,2013,20.97,284160,128.0,5.97,REMBANG
3318,Kabupaten Pati,2013,12.94,314609,157.9,7.29,PATI
3319,Kabupaten Kudus,2013,8.62,299097,70.1,8.07,KUDUS
3320,Kabupaten Jepara,2013,9.23,285287,106.9,6.34,JEPARA
3321,Kabupaten Demak,2013,15.72,299773,172.5,7.08,DEMAK
3322,Kabupaten Semarang,2013,8.51,263352,83.2,3.9,SEMARANG
3323,Kabupaten Temanggung,2013,12.42,229548,91.1,4.87,TEMANGGUNG
3324,Kabupaten Kendal,2013,12.68,275016,117.7,6.43,KENDAL
3325,Kabupaten Batang,2013,11.96,208671,87.5,7.02,BATANG
3326,Kabupaten Pekalongan,2013,13.51,293039,116.5,4.78,PEKALONGAN
3327,Kabupaten Pemalang,2013,19.27,271861,246.8,6.48,PEMALANG
3328,Kabupaten Tegal,2013,10.58,258366,149.8,6.89,TEGAL
3329,Kabupaten Brebes,2013,20.82,307238,367.9,9.61,BREBES
3371,Kota Magelang,2013,9.8,350554,11.8,6.75,KOTA MAGELANG
3372,Kota Surakarta,2013,11.74,403121,59.7,7.22,SURAKARTA
3373,Kota Salatiga,2013,6.4,302884,11.5,6.21,SALATIGA
3374,Kota Semarang,2013,5.25,328271,86.7,6.02,KOTA SEMARANG
3375,Kota Pekalongan,2013,8.26,322313,24.1,5.28,KOTA PEKALONGAN
3376,Kota Tegal,2013,8.84,333553,21.6,9.32,KOTA TEGAL
3301,Kabupaten Cilacap,2014,14.21,265714,239.8,5.65,CILACAP
3302,Kabupaten Banyumas,2014,17.45,309106,283.5,5.37,BANYUMAS
3303,Kabupaten Purbalingga,2014,19.75,275022,176.0,5.13,PURBALINGGA
3304,Kabupaten Banjarnegara,2014,17.77,229718,159.5,4.06,BANJARNEGARA
3305,Kabupaten Kebumen,2014,20.5,277280,242.3,3.25,KEBUMEN
3306,Kabupaten Purworejo,2014,14.41,284409,102.1,5.1,PURWOREJO
3307,Kabupaten Wonosobo,2014,21.42,267548,165.8,5.34,WONOSOBO
3308,Kabupaten Magelang,2014,12.98,246292,160.5,7.45,MAGELANG
3309,Kabupaten Boyolali,2014,12.36,255391,118.6,4.95,BOYOLALI
3310,Kabupaten Klaten,2014,14.56,327231,168.2,4.75,KLATEN
3311,Kabupaten Sukoharjo,2014,9.18,291949,78.9,4.6,SUKOHARJO
3312,Kabupaten Wonogiri,2014,13.09,244761,123.8,3.45,WONOGIRI
3313,Kabupaten Karanganyar,2014,12.62,288814,107.3,3.54,KARANGANYAR
3314,Kabupaten Sragen,2014,14.87,255550,130.3,6.04,SRAGEN
3315,Kabupaten Grobogan,2014,13.86,290827,186.5,4.25,GROBOGAN
3316,Kabupaten Blora,2014,13.66,248903,116.0,4.3,BLORA
3317,Kabupaten Rembang,2014,19.5,299503,120.0,5.23,REMBANG
3318,Kabupaten Pati,2014,12.06,332228,148.1,6.37,PATI
3319,Kabupaten Kudus,2014,7.99,314211,65.8,5.03,KUDUS
3320,Kabupaten Jepara,2014,8.55,299914,100.5,5.09,JEPARA
3321,Kabupaten Demak,2014,14.6,315570,162.0,5.17,DEMAK
3322,Kabupaten Semarang,2014,8.05,275612,79.8,4.38,SEMARANG
3323,Kabupaten Temanggung,2014,11.55,240845,85.5,3.19,TEMANGGUNG
3324,Kabupaten Kendal,2014,11.8,289486,110.5,6.15,KENDAL
3325,Kabupaten Batang,2014,11.13,216952,82.1,7.42,BATANG
3326,Kabupaten Pekalongan,2014,12.57,306281,109.3,6.03,PEKALONGAN
3327,Kabupaten Pemalang,2014,18.44,287358,237.0,7.44,PEMALANG
3328,Kabupaten Tegal,2014,9.87,271875,140.3,8.47,TEGAL
3329,Kabupaten Brebes,2014,20.0,327452,355.1,9.53,BREBES
3371,Kota Magelang,2014,9.14,376143,11.0,7.38,KOTA MAGELANG
3372,Kota Surakarta,2014,10.95,417807,55.9,6.16,SURAKARTA
3373,Kota Salatiga,2014,5.93,320204,10.8,4.46,SALATIGA
3374,Kota Semarang,2014,5.04,348824,84.7,7.76,KOTA SEMARANG
3375,Kota Pekalongan,2014,8.02,338398,23.6,5.42,KOTA PEKALONGAN
3376,Kota Tegal,2014,8.54,353301,20.9,9.2,KOTA TEGAL
3301,Kabupaten Cilacap,2015,14.39,273828,243.5,8.01,CILACAP
3302,Kabupaten Banyumas,2015,17.52,320585,285.9,6.37,BANYUMAS
3303,Kabupaten Purbalingga,2015,19.7,283366,176.5,4.84,PURBALINGGA
3304,Kabupaten Banjarnegara,2015,18.37,236399,165.4,5.05,BANJARNEGARA
3305,Kabupaten Kebumen,2015,20.44,292177,241.9,4.14,KEBUMEN
3306,Kabupaten Purworejo,2015,14.27,294158,101.2,4.01,PURWOREJO
3307,Kabupaten Wonosobo,2015,21.45,275180,166.4,4.47,WONOSOBO
3308,Kabupaten Magelang,2015,13.07,253866,162.4,5.16,MAGELANG
3309,Kabupaten Boyolali,2015,12.45,263734,120.0,2.03,BOYOLALI
3310,Kabupaten Klaten,2015,14.89,340484,172.3,2.51,KLATEN
3311,Kabupaten Sukoharjo,2015,9.26,303030,79.9,4.52,SUKOHARJO
3312,Kabupaten Wonogiri,2015,12.98,252903,123.0,3.07,WONOGIRI
3313,Kabupaten Karanganyar,2015,12.46,303056,106.4,3.6,KARANGANYAR
3314,Kabupaten Sragen,2015,14.86,263199,130.4,4.51,SRAGEN
3315,Kabupaten Grobogan,2015,13.68,303455,184.5,5.22,GROBOGAN
3316,Kabupaten Blora,2015,13.52,257581,115.0,4.68,BLORA
3317,Kabupaten Rembang,2015,19.28,314596,119.1,4.51,REMBANG
3318,Kabupaten Pati,2015,11.95,347575,147.1,4.43,PATI
3319,Kabupaten Kudus,2015,7.73,328404,64.1,5.04,KUDUS
3320,Kabupaten Jepara,2015,8.5,314422,100.6,3.12,JEPARA
3321,Kabupaten Demak,2015,14.44,328529,160.9,6.02,DEMAK
3322,Kabupaten Semarang,2015,8.15,286918,81.2,2.57,SEMARANG
3323,Kabupaten Temanggung,2015,11.76,248866,87.5,1.5,TEMANGGUNG
3324,Kabupaten Kendal,2015,11.62,301449,109.3,7.07,KENDAL
3325,Kabupaten Batang,2015,11.27,224437,83.5,4.56,BATANG
3326,Kabupaten Pekalongan,2015,12.84,317796,112.1,5.1,PEKALONGAN
3327,Kabupaten Pemalang,2015,18.3,298622,235.5,6.53,PEMALANG
3328,Kabupaten Tegal,2015,10.09,282861,143.5,9.52,TEGAL
3329,Kabupaten Brebes,2015,19.79,340538,352.0,6.49,BREBES
3371,Kota Magelang,2015,9.05,405228,10.9,6.43,KOTA MAGELANG
3372,Kota Surakarta,2015,10.89,406840,55.7,4.53,SURAKARTA
3373,Kota Salatiga,2015,5.8,337511,10.6,6.43,SALATIGA
3374,Kota Semarang,2015,4.97,368477,84.3,5.77,KOTA SEMARANG
3375,Kota Pekalongan,2015,8.09,352717,24.1,4.1,KOTA PEKALONGAN
3376,Kota Tegal,2015,8.26,371528,20.3,8.06,KOTA TEGAL
3301,Kabupaten Cilacap,2016,14.12,292525,240.2,8.61,CILACAP
3302,Kabupaten Banyumas,2016,17.23,344514,283.9,6.12,BANYUMAS
3303,Kabupaten Purbalingga,2016,18.98,301862,171.8,5.42,PURBALINGGA
3304,Kabupaten Banjarnegara,2016,17.46,252328,158.2,4.99,BANJARNEGARA
